ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA
61691,CHE,Male,2010,3.81,4.09,3.92,3.15,3.56,2.71
35577,CHE,Male,2010,3.81,4.07,3.86,3.6,4.06,3.91
60825,CHE,Male,2010,3.52,4.02,3.18,3.13,3.22,2.43
89860,CHE,Male,2010,2.95,3.4,2.68,2.95,2.75,3.13
48455,CHE,Male,2011,2.66,3.61,3.55,1.86,2.56,2.59
69167,CHE,Male,2011,3.81,3.7,3.08,3.91,4.69,2.41
52463,CHE,Female,2011,4.22,4.11,3.77,4.42,4.5,2.71
41597,CHE,Male,2011,4.41,4.21,4.1,4.44,4.78,4.06
90907,CHE,Male,2011,3.31,4.06,2.75,2.67,3.63,3.88
64110,CHE,Male,2011,3.29,3.77,2.94,2.64,3.69,3.28
68627,CHE,Female,2011,4.07,4.23,3.59,3.87,4.31,2.86
36276,CHE,Male,2011,3.72,4.15,3.37,3.44,3.91,4.17
70037,CHE,Male,2011,3.04,3.79,3.37,2.89,3.19,3.13
56945,CHE,Male,2011,3.85,4.06,3.43,3.69,4.09,3.44
88428,CHE,Male,2011,3.8,3.94,3.56,3.47,4.22,3.54
88886,CHE,Female,2011,4.66,4.6,4.62,4.56,4.91,3.59
38522,CHE,Male,2012,2.46,3.11,1.89,1.98,2.27,3.2
65651,CHE,Female,2011,4.21,4.17,3.6,4.4,4.47,3.48
37792,CHE,Female,2011,4.08,4.06,3.83,3.89,4.47,2.86
38715,CHE,Female,2011,4.45,4.43,3.96,4.69,4.72,2.86
68538,CHE,Female,2011,4.41,4.7,3.96,4.27,4.75,2.81
62072,CHE,Male,2012,2.34,3.15,2.24,2.18,2.47,2.73
32935,CHE,Male,2011,4.53,4.79,4.37,4.6,4.78,4.1
31237,CHE,Male,2012,3.4,4.47,2.88,3.07,3.75,2.71
88830,CHE,Male,2012,4.44,4.6,4.1,4.49,4.81,3.04
